IP,PORT,IPV4_CONNECT_MS,IPV4_EXIT_IP,IPV4_EXIT_COLO,IPV4_EXIT_ASN,IPV4_EXIT_ORG,IPV4_EXIT_CONTINENT,IPV4_EXIT_COUNTRY,IPV4_EXIT_REGION,IPV4_EXIT_CITY,IPV4_EXIT_LONGITUDE,IPV4_EXIT_LATITUDE,IPV6_CONNECT_MS,IPV6_EXIT_IP,IPV6_EXIT_COLO,IPV6_EXIT_ASN,IPV6_EXIT_ORG,IPV6_EXIT_CONTINENT,IPV6_EXIT_COUNTRY,IPV6_EXIT_REGION,IPV6_EXIT_CITY,IPV6_EXIT_LONGITUDE,IPV6_EXIT_LATITUDE
38.207.130.236,443,,,,,,,,,,,,43,2a12:f8c1:50:2:7f24:a968:dea3:2437,NRT,51847,DODO K.K.,AS,JP,Tokyo,Tokyo,139.69171,35.6895
45.32.253.85,443,,,,,,,,,,,,34,2401:c080:1000:25a4:5400:6ff:fe15:2bd2,NRT,20473,"The Constant Company, LLC",AS,JP,Saitama,Ōi,139.7302,35.609
89.125.244.207,443,37,89.125.244.207,NRT,26383,Baxet Group Inc.,AS,JP,Tokyo,Tokyo,139.69171,35.6895,,,,,,,,,,,
38.207.130.136,443,,,,,,,,,,,,38,2a12:f8c1:50:2::427,NRT,51847,DODO K.K.,AS,JP,Tokyo,Tokyo,139.69171,35.6895
54.64.6.20,443,,,,,,,,,,,,44,2406:da14:131e:5200:7110:a59f:5012:9aa2,NRT,16509,"Amazon.com, Inc.",AS,JP,Tokyo,Tokyo,139.69171,35.6895
82.40.42.85,443,34,82.40.42.85,NRT,216211,Private Customer,AS,JP,Tokyo,Tokyo,139.69171,35.6895,,,,,,,,,,,
103.173.179.55,443,,,,,,,,,,,,30,2406:ef80:4:b833::1,NRT,63473,HostHatch Tokyo,AS,JP,Tokyo,Tokyo,139.69171,35.6895
89.125.244.195,443,31,89.125.244.195,NRT,26383,Baxet Group Inc.,AS,JP,Tokyo,Tokyo,139.69171,35.6895,,,,,,,,,,,
47.79.37.210,443,,,,,,,,,,,,34,240b:4009:25a:1802:0:c230:b77f:e927,NRT,45102,Alibaba Cloud (Singapore) Private Limited,AS,JP,Tokyo,Tokyo,139.69171,35.6895
153.121.58.207,443,33,153.121.58.207,NRT,9370,SAKURA Internet Inc.,AS,JP,Tokyo,Tokyo,139.69171,35.6895,,,,,,,,,,,
154.31.117.113,443,,,,,,,,,,,,32,2403:18c0:1001:451:e80f:67ff:fe0f:9105,NRT,906,DMIT Inc.,AS,JP,Tokyo,Tokyo,139.69171,35.6895
46.250.251.180,443,,,,,,,,,,,,31,2400:d320:2313:9585::1,NRT,141995,Contabo Asia Private Limited,AS,JP,Tokyo,Ebara,139.7486,35.617
38.47.125.33,443,33,38.47.125.33,NRT,400464,VMISS Inc.,AS,JP,Tokyo,Tokyo,139.69171,35.6895,,,,,,,,,,,
151.242.165.26,443,,,,,,,,,,,,39,2a12:f8c1:50:2:29c7:cef0:16f:1c62,NRT,51847,DODO K.K.,AS,JP,Tokyo,Tokyo,139.69171,35.6895
156.246.91.114,443,,,,,,,,,,,,33,2602:fa4f:a30:6855:aa1e:6186:b22d:5cf7,NRT,61112,AkileCloud LLC,AS,JP,Tokyo,Tokyo,139.69171,35.6895
13.231.5.138,443,,,,,,,,,,,,34,2406:da14:94:7600:c37f:eea5:170b:febe,NRT,16509,"Amazon.com, Inc.",AS,JP,Tokyo,Tokyo,139.69171,35.6895
64.176.42.143,443,,,,,,,,,,,,44,2401:c080:3800:2b13:5400:6ff:fe04:d4c3,KIX,20473,"The Constant Company, LLC",AS,JP,Osaka,Osaka,135.50107,34.69379
64.176.36.61,443,39,64.176.36.61,KIX,20473,"Vultr Holdings, LLC",AS,JP,Osaka,Osaka,135.50107,34.69379,,,,,,,,,,,
45.196.233.37,443,,,,,,,,,,,,31,2602:fa4f:a30:3838:976c:76f6:ec2a:f781,NRT,61112,AkileCloud LLC,AS,JP,Tokyo,Tokyo,139.69171,35.6895
45.142.125.104,443,,,,,,,,,,,,31,2a12:a301:2001::1072,NRT,3258,xTom Japan Corporation,AS,JP,Tokyo,Tokyo,139.69171,35.6895
